,Postal Code,Borough,Neighborhood,latitude,longitude,Cluster Label,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,M3A,North York,Parkwoods,43.7587999,-79.3201966,2,Coffee Shop,Pizza Place,Supermarket,Gas Station,Discount Store,Pharmacy,Fast Food Restaurant,Breakfast Spot,Liquor Store,Café
1,M4A,North York,Victoria Village,43.732658,-79.3111892,5,Middle Eastern Restaurant,Chinese Restaurant,Mediterranean Restaurant,Thai Restaurant,Thrift / Vintage Store,French Restaurant,Intersection,Asian Restaurant,Indian Restaurant,Bus Line
2,M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6607056,-79.3604569,1,Coffee Shop,Restaurant,Bakery,Café,Park,Thai Restaurant,Pub,Gastropub,Breakfast Spot,Diner
3,M6A,North York,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,1,Coffee Shop,Grocery Store,Pizza Place,Fast Food Restaurant,Bagel Shop,Pharmacy,Bank,Bus Stop,Discount Store,Sushi Restaurant
4,M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,0,Coffee Shop,Japanese Restaurant,Park,Sushi Restaurant,Art Gallery,Mexican Restaurant,Ramen Restaurant,Café,Dessert Shop,Burger Joint
5,M9A,Etobicoke,"Islington Avenue, Humber Valley Village",43.6794838,-79.5389092,1,Bank,Coffee Shop,Electronics Store,Beer Store,Shopping Mall,Golf Course,Café,Liquor Store,Grocery Store,Sandwich Place
6,M1B,Scarborough,"Malvern, Rouge",43.8091955,-79.2217008,8,Park,Fast Food Restaurant,Pizza Place,Pharmacy,Grocery Store,Sandwich Place,Restaurant,Bubble Tea Shop,Salon / Barbershop,Skating Rink
7,M3B,North York,Don Mills,43.775347,-79.3459439,0,Clothing Store,Coffee Shop,Fast Food Restaurant,Baseball Field,Restaurant,Japanese Restaurant,Bank,Juice Bar,Sporting Goods Shop,Food Court
8,M4B,East York,"Parkview Hill, Woodbine Gardens",43.7062977,-79.3219073,8,Playground,Pharmacy,Park,Skating Rink,Pizza Place,Breakfast Spot,Fast Food Restaurant,Pet Store,Bank,Rock Climbing Spot
9,M5B,Downtown Toronto,"Garden District, Ryerson",43.6564995,-79.3771141,0,Coffee Shop,Café,Gastropub,Japanese Restaurant,Italian Restaurant,Hotel,Ramen Restaurant,Poke Place,Plaza,Middle Eastern Restaurant
10,M6B,North York,Glencairn,43.7087117,-79.4406853,8,Grocery Store,Pizza Place,Coffee Shop,Asian Restaurant,Shoe Store,Rental Car Location,Japanese Restaurant,Bakery,Trail,Pub
11,M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.6631995,-79.5685684,8,Park,Convenience Store,Pharmacy,Eastern European Restaurant,Electronics Store,Skating Rink,Beer Store,Bakery,Home Service,Fast Food Restaurant
12,M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.7802711,-79.1304992,8,Park,Liquor Store,Train Station,Gym,Beer Store,Japanese Restaurant,Coffee Shop,Pet Store,Fast Food Restaurant,Pizza Place
13,M3C,North York,Don Mills,43.775347,-79.3459439,0,Clothing Store,Coffee Shop,Fast Food Restaurant,Baseball Field,Restaurant,Japanese Restaurant,Bank,Juice Bar,Sporting Goods Shop,Food Court
14,M4C,East York,Woodbine Heights,43.6999302,-79.3191316,1,Pizza Place,Pharmacy,Park,Thai Restaurant,Pub,Spa,Skating Rink,Breakfast Spot,Liquor Store,Café
15,M5C,Downtown Toronto,St. James Town,43.6694032,-79.3727041,0,Coffee Shop,Restaurant,Japanese Restaurant,Café,Gay Bar,Diner,Grocery Store,Gastropub,Thai Restaurant,Pub
16,M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.6622732,-79.5765162,8,Convenience Store,Beer Store,Eastern European Restaurant,Electronics Store,Chinese Restaurant,Park,Coffee Shop,Pub,Pizza Place,Filipino Restaurant
17,M1E,Scarborough,"Guildwood, Morningside, West Hill",43.7552251,-79.1982293,8,Grocery Store,Park,Train Station,Hotel,Storage Facility,Baseball Field,Art Gallery,Coffee Shop,Sandwich Place,Moving Target
18,M5E,Downtown Toronto,Berczy Park,43.64798435,-79.37539591138858,0,Coffee Shop,Café,Restaurant,Seafood Restaurant,Japanese Restaurant,Hotel,Gastropub,Creperie,Cocktail Bar,Italian Restaurant
19,M1G,Scarborough,Woburn,43.7598243,-79.2252908,2,Fast Food Restaurant,Pizza Place,Park,Sandwich Place,Discount Store,Department Store,Coffee Shop,Grocery Store,Bank,Czech Restaurant
