,Postal Code,Borough,Neighborhood,latitude,longitude
0,M3A,North York,Parkwoods,43.7587999,-79.3201966
1,M4A,North York,Victoria Village,43.732658,-79.3111892
2,M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6607056,-79.3604569
3,M6A,North York,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067
4,M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399
5,M9A,Etobicoke,"Islington Avenue, Humber Valley Village",43.6794838,-79.5389092
6,M1B,Scarborough,"Malvern, Rouge",43.8091955,-79.2217008
7,M3B,North York,Don Mills,43.775347,-79.3459439
8,M4B,East York,"Parkview Hill, Woodbine Gardens",43.7062977,-79.3219073
9,M5B,Downtown Toronto,"Garden District, Ryerson",43.6564995,-79.3771141
10,M6B,North York,Glencairn,43.7087117,-79.4406853
11,M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.6631995,-79.5685684
12,M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.7802711,-79.1304992
13,M3C,North York,Don Mills,43.775347,-79.3459439
14,M4C,East York,Woodbine Heights,43.6999302,-79.3191316
15,M5C,Downtown Toronto,St. James Town,43.6694032,-79.3727041
16,M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.6622732,-79.5765162
17,M1E,Scarborough,"Guildwood, Morningside, West Hill",43.7552251,-79.1982293
18,M5E,Downtown Toronto,Berczy Park,43.64798435,-79.37539591
19,M1G,Scarborough,Woburn,43.7598243,-79.2252908
20,M4G,East York,Leaside,43.7047983,-79.3680904
21,M5G,Downtown Toronto,Central Bay Street,43.6561192,-79.38467
22,M6G,Downtown Toronto,Christie,43.6641106,-79.4184051
23,M1H,Scarborough,Cedarbrae,43.75646655,-79.22669244
24,M2H,North York,Hillcrest Village,43.7996637,-79.3650189
25,M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North",43.7492988,-79.462248
26,M4H,East York,Thorncliffe Park,43.704553,-79.3454074
27,M5H,Downtown Toronto,"Richmond, Adelaide, King",43.6485875,-79.3913729
