,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Parkwoods,43.7587999,-79.3201966,Allwyn's Bakery,43.75984035203157,-79.32471879917513,Caribbean Restaurant
1,Parkwoods,43.7587999,-79.3201966,LCBO,43.75777384662435,-79.31425673330513,Liquor Store
2,Parkwoods,43.7587999,-79.3201966,Tim Hortons,43.76066827030228,-79.32636763515987,Café
3,Parkwoods,43.7587999,-79.3201966,Dollarama,43.758135,-79.310672,Discount Store
4,Parkwoods,43.7587999,-79.3201966,A&W,43.760643076161315,-79.3268649067081,Fast Food Restaurant
5,Parkwoods,43.7587999,-79.3201966,Tim Hortons,43.75829469411578,-79.31230985443108,Coffee Shop
6,Parkwoods,43.7587999,-79.3201966,China Cottage,43.759097495523434,-79.3104188485618,Hakka Restaurant
7,Parkwoods,43.7587999,-79.3201966,Staples,43.7583791,-79.3106954,Paper / Office Supplies Store
8,Parkwoods,43.7587999,-79.3201966,Tim Hortons,43.75281395751706,-79.3140672147274,Coffee Shop
9,Parkwoods,43.7587999,-79.3201966,Subway,43.758072972398836,-79.31223512364829,Sandwich Place
10,Parkwoods,43.7587999,-79.3201966,The Beer Store,43.7582748,-79.3137052,Beer Store
11,Parkwoods,43.7587999,-79.3201966,Shoppers Drug Mart,43.76085733239677,-79.32496051573521,Pharmacy
12,Parkwoods,43.7587999,-79.3201966,Petro-Canada,43.75795,-79.315187,Gas Station
13,Parkwoods,43.7587999,-79.3201966,Food Basics,43.76054899113784,-79.32604520023006,Supermarket
14,Parkwoods,43.7587999,-79.3201966,Second Cup,43.757482276690645,-79.31169510099224,Coffee Shop
15,Parkwoods,43.7587999,-79.3201966,Shoppers Drug Mart,43.75744,-79.312548,Pharmacy
16,Parkwoods,43.7587999,-79.3201966,Pizza Pizza,43.76023098701761,-79.32566642761229,Pizza Place
17,Parkwoods,43.7587999,-79.3201966,Petro-Canada,43.763238,-79.318133,Gas Station
18,Parkwoods,43.7587999,-79.3201966,TD Canada Trust,43.7575688,-79.3149756,Bank
19,Parkwoods,43.7587999,-79.3201966,Sushi Ichiban,43.758911588132406,-79.31081062930812,Sushi Restaurant
20,Parkwoods,43.7587999,-79.3201966,Metro,43.75664255813588,-79.31363940238953,Supermarket
21,Parkwoods,43.7587999,-79.3201966,Wild Wing,43.75619568821282,-79.31451382469172,Wings Joint
22,Parkwoods,43.7587999,-79.3201966,Dollarama,43.760341,-79.325519,Discount Store
23,Parkwoods,43.7587999,-79.3201966,Parkway Valley Tennis Club,43.754481101445634,-79.31828498840332,Tennis Court
24,Parkwoods,43.7587999,-79.3201966,McDonald's,43.758048297820466,-79.31324248492706,Fast Food Restaurant
25,Parkwoods,43.7587999,-79.3201966,Mayur Fine Indian Cuisine,43.75924688137414,-79.31084454059601,Indian Restaurant
26,Parkwoods,43.7587999,-79.3201966,Wimpy's Diner,43.759334850907884,-79.3098316408897,Breakfast Spot
27,Parkwoods,43.7587999,-79.3201966,Vogue Nails,43.7581567213508,-79.31038547764345,Spa
28,Parkwoods,43.7587999,-79.3201966,Pharmacy Ave & Ellesmere Rd,43.75913098830876,-79.31012879382847,Intersection
29,Parkwoods,43.7587999,-79.3201966,Domino's Pizza,43.75942567220302,-79.30989349437851,Pizza Place
30,Victoria Village,43.732658,-79.3111892,Armenian Kitchen,43.73107096414275,-79.30539020048727,Middle Eastern Restaurant
31,Victoria Village,43.732658,-79.3111892,Jatujak,43.736207542145884,-79.30766830088342,Thai Restaurant
32,Victoria Village,43.732658,-79.3111892,Tim Hortons,43.725516631714754,-79.31310251366091,Coffee Shop
33,Victoria Village,43.732658,-79.3111892,Portugril,43.72581876267242,-79.31278541470671,Portuguese Restaurant
